No,Project Name,Domestic or foriegn financier,Financier's countries,Financier's name,Investing Amount/ Share (mio USD),Reference
29,Duyên Hải III Extension,foreign,Japan,JICA,409,"https://www.vietnambreakingnews.com/2014/12/work-starts-on-duyen-hai-3-thermal-power-plant/
 http://in.reuters.com/article/vietnam-banks-thermal-idINL4N0XI17M20150421
 http://www.pp.u-tokyo.ac.jp/wp-content/uploads/2016/03/GraSPP-DP-E-14-003-SOM.pdf
 https://www.vietinbank.vn/web/home/vn/news/15/04/3000-ty-tai-tro-du-an-nha-may-nhiet-dien-duyen-hai-3-mo-rong.html?p=1"
29,Duyên Hải III Extension,domestic,Vietnam,BIDV,208,
29,Duyên Hải III Extension,domestic,Vietnam,VDB,34.73,
29,Duyên Hải III Extension,domestic,Vietnam,Vietcombank,30,
29,Duyên Hải III Extension,domestic,Vietnam,Maritime Bank,25,
30,Hải Dương,foreign,China,ICBC,467.13,http://www.thesundaily.my/news/1560918 http://baophapluat.vn/chinh-sach/hai-duong-khoi-cong-du-an-nhiet-dien-gan-2-ty-usd-267563.html
30,Hải Dương,foreign,China,China Construction Bank (CCB),467.13,
30,Hải Dương,foreign,China,China Bank of Communication,467.13,
31,Hóa dầu Long Sơn,,,,,"http://brt.vn/21/88293/Nam-2015,-se-xay-dung-nha-may-Nhiet-dien-hoa-dau-Long-Son.htm"
32,Long Phú I,,,,,http://nangluongvietnam.vn http://pvc.vn/en-us/news/newsdetails/tabid/211/id/2199/EPC-Contract-Signed-for-Long-Phu-1-Thermal-Power-Plant-Construction.aspx
33,Na Dương II,,,,,http://www.vietnamplus.vn/tren-192-trieu-usd-xay-dung-nha-may-nhiet-dien-na-duong-2/349749.vnp
34,Nghi Sơn II,,,,,http://www.talkvietnam.com/2015/09/work-begins-on-nghi-son-2-thermal-power-project/
35,Quảng Trạch I,,,,,http://www.subseauk.com/documents/partnership%20with%20petrovietnam%202012.pdf http://s.cafef.vn/pve-64067/khoi-cong-nha-may-nhiet-dien-quang-trach-1.chn
36,Quỳnh Lập I,,,,,http://vietnamnews.vn/economy/276541/construction-begins-on-22b-nghe-an-thermal-power-plant.html
37,Sông Hậu I,,,,,http://geovietnam.com.vn/detail/239-1899/du-an-nha-may-nhiet-dien-song-hau-1-(2x600mw).html
